;text;truthRating
5194;New law going into effect in November 2007 will make it illegal for motorists in Pennsylvania to use cell phones while driving.;0
4088;'I opposed this war from the beginning. I opposed the war in 2002. I opposed the war in 2003. I opposed it in 2004 and 2005 and 2006.';1
4478;California Governor Jerry Brown has mandated the use of gay pornography in elementary schools in order to teach children about LGBT sex.;0
3863;Says 'Donald Trump was doing a rally in the state of Florida' the day Trump's son and others met with a Russian lawyer in New York.;0
7605;Under certain conditions, lionesses can grow manes and develop 'masculine behavior'.;1
9380;A photograph shows a man who was diagnosed with eye cancer due to using his cell phone at night.;0
3062;A video shows Pope Francis slapping away President Trump's hand.;0
5462;Jasper Smith was arrested in North Carolina for selling energy drinks laced with methamphetamine.;0
9202;Hillary Clinton was arrested by the FBI on 1 April 2016.;0
5390;Casey Anthony is pregnant with twins and hoping to star in a reality TV show.;0
5626;Polls show 'Hillary Clinton wins every time with Donald Trump' as her opponent.;1
5080;Thirty-four of the 47 men depicted in the famous 'Declaration of Independence' painting were slaveholders.;1
5489;Democratic lawmakers who voted in favor of short-term spending bills 'just voted to deport Dreamers.';0
6897;Pins, needles, and razor blades have been found in trick-or-treaters' loot.;1
4230;A crude sketch of a phallus could be seen on the inside of a log during an episode of Maya the Bee.;1
4275;'The overall fact about illegal immigration is that it's not actually getting worse.';1
2127;The actor who played Stuart Minkus on the television series Boy Meets World become the actress Chanel West Coast.;0
3175;The image projected onto one of the singing busts in the Haunted Mansion's graveyard is Walt Disney himself.;0
7118;Milwaukee police and firefighters 'are routinely getting 4 percent raises annually while everybody else is either getting zero or one percent raises.';0
1944;A photograph depicts a glamorous 'young Harriet Tubman.';0
696;Over the past few years, hundreds of children have drowned in pit latrines in South Africa;0
1276;The U.S. Army is investigating ways to build biodegradable bullets that will sprout into plants.;1
2794;'Our trade deficit in goods reached nearly … $800 billion last year alone.';1
6064;'We do not have an overcrowding problem. As a matter of fact, Rhode Island has one of the lowest incarceration rates in the country.';1
7599;CVS pharmacy had an issue with an employee wearing ties bearing religious symbolism at one of their Virginia outlets.;1
4716;Says he followed state law and the precedent of other Massachusetts governors when he erased electronic communications as he left office.;1
3125;A map shows the results of the 2012 election if 'only taxpayers voted.';0
4494;Some older model cordless phones call 911 by themselves when their batteries are dying.;1
6945;'A cashier earning $20,000 per year pays the same (Virginia) income tax rate as a hedge fund manager earning $20 million per year.';0
1128;U.S. President Donald Trump personally donated $1 million to the relief fund for the Bahamas after Hurricane Dorian.;0
6854;The minimum legal drinking age in the U.S. is being raised to twenty-five as of 2 August 2014.;0
2877;During a House committee meeting, Rep. Hank Johnson said he feared that stationing 8,000 Marines on Guam would cause the island to 'become so overly populated that it will tip over and capsize.';1
7035;Photograph shows an orca whale attacking a black bear.;0
6065;One of the top search results in Google for the word “jew” points to an anti-Semitic site.;1
26;“More than 8.2 million South Africans do not have a job.”;1
2907;Imbibers drink the liquor from a barrel used to preserve a dead body.;0
6890;Insurance companies 'have made a fortune with Obamacare.';0
5217;'Star Trek' star Patrick Stewart admitted he originally refused to see the 'Galaxy Quest' movie, but eventually he did so and greatly enjoyed the film.;1
8572;Last year, 'Exxon pocketed nearly $4.7 million every hour.';1
5123;Associated Press briefly carried a photo showing a sailor on the USS Enterprise signing a bomb with the words “HIGH JACK THIS FAGS.”;1
4459;The HIV virus has been 'detected in Walmart bananas after 10 year old boy contracts the virus.';0
3650;Four state Assembly Democrats 'scored a death blow to northeast Wisconsin’s economy' by killing hundreds of jobs at a potential Bass Pro Shops near Green Bay.;0
1477;A photograph shows several large whales feeding near a tiny boat.;0
1070;An unsuccessful contestant on The Contender committed suicide after being bumped from the show.;1
3547;An expletive-filled letter from “Saucy Jack” detailing conditions in Afghanistan was penned by a Marine serving there.;0
3837;President Donald Trump posted a suggestive comment on Twitter about his daughter's 'skintight' dress.;0
5265;Quotes Kurt Cobain saying in 1993 that he wouldn’t be surprised if his generation eventually elected a 'true outsider' a 'business tycoon who can’t be bought' … 'someone like Donald Trump';0
8907;A toddler was ejected from a roller coaster after his teen mother circumvented height regulations and sneaked him onto the ride.;0
775;Photograph shows large military transport plane stuck atop a freeway overpass.;1
9250;'Rhode Island has a very generous unemployment compensation rate compared to most other states.';1
1609;California has 'the highest poverty rate in the nation' when considering the U.S. Census Bureau’s Supplemental Poverty Measure.;1
2528;A photograph shows several young males wearing “Team Mitch” shirts while strangling, kissing, or otherwise posing with a cardboard cutout of U.S. Rep. Alexandria Ocasio-Cortez.;1
8822;The average woman swallows six pounds of lipstick during her lifetime.;0
619;President Donald Trump offered to donate $1 million to a charity of Sen. Elizabeth Warren's choice if she would take a DNA test to demonstrate that she had Native American ancestry.;1
2692;Actor Matthew McConaughey made a video endorsing Donald Trump.;0
1108;U.S. Senator Elizabeth Warren listed her race as 'American Indian' on her 1986 Texas State Bar registration card.;1
2775;'3,000-Pound Great White Shark Captured in Great Lakes.';0
3876;The USA Freedom Act undercuts privacy because 'the phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.';0
2965;A high school boy was shot by a police officer who mistook his saxophone for a gun.;0
1251;'When we say ‘one vote matters,’ it’s not just a saying – it has proven true 141 times in #Ohio over the last five years.';1
3873;Says Obama has flip-flopped on public campaign financing.;1
5484;In 1873 a British mill engineer “broke the bank” at a Monte Carlo casino.;1
1147;Says the 3C Corridor train would have taken  'an hour and 15 minutes longer' to carry passengers across Ohio 'than it would have taken on a New York Central train in 1935.';1
4236;Says U.S. Rep. Paul Ryan attacked the president for 'the same amount of Medicare savings that (Ryan) had in his own budget.';1
1414;Says state Sen. Steve Ogden was the 'driving force behind business income tax hurting small business, crafted the Robin Hood school finance scheme making property taxes skyrocket, wrote a budget that will result in a $14 billion deficit and voted against' gun freedoms.;0
211;'Since that famous day in February where the governor campaigned with Barack Obama on behalf of the stimulus program, 211,000 Floridians have lost their jobs.';1
7535;"Baseball player Jackie Robinson said, 'I cannot stand and sing the anthem. I cannot salute the flag; I know that I am a black man in a white world.'";1
1755;The 2-year-old son of NFL star Adrian Peterson has died as the result of an apparent beating.;1
3456;Jerry Falwell Jr. posted a message on Facebook celebrating that 'we have a president' who 'looks like us.';0
8410;A video shows small, white worms inside some cherries.;1
1458;Says Jill McCabe 'supports late term abortions. Larger baby parts are more profitable.';0
6862;Thomas Jefferson sent the U.S. Navy to subdue Barbary pirates in the Mediterranean.;1
1189;A photograph shows a group of women in KKK garb holding a sign reading 'Women of the Democrat Party.';0
1478;A 19-year-old college student in Kenya purposefully infected 324 men with human immunodeficiency virus in an act of revenge.;0
55;The sequester has 'already lost 1.6 million jobs.';0
7263;'Eight out of the nine states with competitive Senate races, Hispanics make up less than 10 percent of the electorate.';1
4463;CNN created 'fake news' and staged protests in which Muslim residents purportedly protested a 3 June 2017 attack in London.;0
642;Artist Lana Newstrom is creating invisible art and selling it for millions of dollars.;0
8940;'More than 27,000 Rhode Island jobs depend on trade with Canada.';1
7946;E-mail reproduces Jason Whitlock’s editorial about the Don Imus controversy.;1
2231;'Elorza wants to teach our public school children about the ‘non-existence of God.’';0
1258;A retired U.S. Army sergeant faces life in prison for killing two Syrian refugees after discovering they raped his teenage daughter.;0
7752;A video shows a real sea roach.;0
2177;'Individuals with mental illnesses die an average of 25 years earlier than those without a mental illness.';1
2005;Researchers detected cocaine in multiple, freshwater-shrimp samples across the U.K.;1
9048;'There's a big chunk of the country that thinks that I have been too soft on Wall Street.';1
4631;Photograph shows bulletin warning London Underground travelers not to run on the platforms or concourses.;0
1119;An image shows the inside of a leatherback turtle's mouth.;1
9889;Photograph shows a U.S. Marine wounded in Afghanistan.;1
7562;Says China and Singapore impose the death penalty on drug dealers.;1
1673;'Some criminals have learned how to spy on Americans, hacking into our home computers and looking out through the video camera attached to the screen.';1
329;The United States Department of Homeland Security is planning to compile a database of journalists and bloggers.;1
6777;Says an Obama administration policy prohibits people who work with at-risk youth from promoting marriage as a way to avoid poverty.;0
925;The Green New Deal legislation of 2019 includes a provision requiring men to recycle their urine to use for coffee.;0
5561;'One out of 10 minimum-wage workers in the U.S. live in Texas.';1
504;Says it's not 'accidental' that the villain in the Batman movie is named Bane.;0
3654;A document discovered in May 2019 reveals that Donald Trump's IQ was measured at 73 during his high school years.;0
4097;The U.S. would gain revenue by cutting personal income tax rates in half and ending tax breaks.;1
7358;Says Sen. Kamala  Harris 'introduced a bill today to forbid a police officers from drawing his/her gun without permission from their supervisor.';0
9970;Pittsburgh Steelers Coach Mike Tomlin Rips Player for Standing, Fired for National Anthem Protest;0
190;Speaking of Donald Trump's presidency, former Secretary of State Henry Kissinger referred to him as the 'one true leader.';0
4403;When he took office in 2009, President Barack Obama 'had the biggest Democratic majorities in Congress since Lyndon Johnson.';0
5189;Candidate Arrested in U.K. for Quoting Winston Churchill;1
5083;Says the Patient Protection and Affordable Care Act adopted last year contains 'a series of slush funds, set up to stay on the books automatically, with little or no oversight.';0
5908;A TV station was pranked with fake names for pilots involved in an airline crash.;1
6731;'Three out of the 18 benchmarks of the (GAO) have been fulfilled. Even among Republican math, that is a failing grade.';1
9075;A video shows a surfer being towed by a great white shark.;0
3093;A goat (or horse) tied to railway crossing gate is accidentally hanged when the gate goes up.;0
